Ticker,Price,MarketCap,ShareToBuy
CAT,182.17,100648288325,10
ANTM,313.9,78960625252,6
ATVI,90.19,69756162466,21
AZO,1235.34,27754299052,1
CDNS,137.47,38108076268,14
AJG,129.23,24802009317,15
ANSS,377.22,31441324406,5
BSX,35.67,50235335659,55
AON,218.62,49747529392,9
APTV,128.19,34202251903,15
AVY,152.44,12813070696,12
CL,86.5,75404867252,22
ABBV,107.5,187051630942,18
AMAT,89.27,80742852549,22
AMT,230.06,101646623855,8
AMZN,3245.23,1684629393155,0
BAC,29.37,258613203420,67
BKR,21.29,22196138188,93
BLL,95.94,30284632606,20
CAH,54.24,16057977417,36
AAP,164.5,11346514677,12
AEP,82.7,40970528209,23
AMP,188,22356433542,10
CB,155.48,68219534446,12
ALLE,114.64,10570457039,17
AWK,154.49,27085728636,12
AXP,119.9,96370411895,16
BEN,24.84,12982727622,79
CAG,36.38,17985204308,54
ACN,259.94,176433672590,7
AIZ,134.87,7800267313,14
ALGN,555.62,42664167204,3
CLX,209.82,25939261824,9
CMCSA,51.77,229262365144,38
BXP,94.79,14944967291,20
CBRE,64.93,21989806615,30
CHD,90.07,21599718658,21
AMCR,11.6,18866310590,170
ATO,94.16,12027243790,21
AVB,159.54,22304467997,12
BAX,79,41105719616,25
BDX,251.5,73312352779,7
ADBE,504.98,243092571600,3
AFL,45.06,31566633348,43
AIV,5.17,796896967,382
CCL,19.98,21907168502,99
CDW,131.26,19476274976,15
ANET,291.06,22728323512,6
BF.B,79.54,36620187615,24
CARR,38.3,33984947253,51
AVGO,441.3,178604823320,4
BLK,706.56,108479609622,2
CERN,80.42,24214771614,24
ALB,150.06,16264889135,13
ALXN,154.35,33757494915,12
ARE,183.2,23874119588,10
AME,120.2,28325884178,16
APD,270.48,59064931338,7
CCI,154.37,69226957270,12
ABMD,314.05,14009900528,6
ADM,49.58,28019920929,39
AMD,94.08,115025595232,21
APA,14.23,5506669429,139
APH,133.59,38687156519,14
BA,219.79,125019722529,9
BIIB,247.95,39594140302,7
BKNG,2124.49,87464839348,0
AAPL,134.49,2273494606366,14
ADSK,307.9,68314082613,6
ALK,52.54,6424849878,37
BR,153.81,17341955285,12
